MFI_BRANCH_ID|ADDRESS1
ABHY0065060|SHOP NO 8A & 9, GROUND FLOOR, SAI SANGAM, SECTOR-15, SAKAL BHAVAN MARG, CBD BELAPUR, NAVI MUMBAI 400 614
ABHY0065061|SHOP NO.30 TO 33, GROUND FLOOR, SHREEJI SANGH, SECTOR - 7, PLOT NO. 15/16 KHANDA COLONY, PANVEL 410206
ABHY0065062|MILESTONE CORPORATE PARK, DATTAWADI, OLD MUMBAI ROAD, KALWA (W) DIST. THANE 400 605
ABHY0065063|JANKI HEIGHTS OPP. SHIV SENA SHAKA, DEENDAYAL ROAD, DOMBIVALI (WEST), DIS THANE 421202
ABHY0065064|SHOP NO.2,3,5 & 6A, VRINDAVAN CHS LTD., BUILDING NO.9, SHASTRI NAGAR ROAD NO.1, GOREGAON (W), MUMBAI 400 104.
ABHY0065065|BAL VIKAS SCHOOL BUILDING, GROUND FLOOR, MHADA COLONY, SARVODAYA NAGAR, JOGESHWARI (E), MUMBAI 400 060
ABHY0065066|KHUSHI HEIGHTS, POONA LINK ROAD, OPP. NITIN RAJ HOTEL, KATEMANIVALI, KALYAN (E), DIST. THANE - 421 306.
ABHY0065067|SHREE KRISHNA PARK, NEAR SHIV SENA SHAKA, DIVA (E), DIST. THANE - 400 612.
ABHY0065068|SOM SHIV PLAZA, ANJUR PHATA, KAMATGHAR, AGRA ROAD, BHIWANDI - 421 302.
ABHY0065069|SHOP NO. S-109, RAJIV GANDHI COMMERCIAL COMPLEX, EKTA NAGAR, CHARKOP MARVE LINK ROAD, KANDIVLI (W), MUMBAI - 400 067
ABHY0065070|BLOCK NO.12, GROUND FLOOR, DHANRAJ MILL COMPOUND, SITARAM JADHAV MARG, LOWER PAREL, MUMBAI - 400 013.
ABHY0065071|SHOP NO. 6, 7, 8 & 9, GROUND FLOOR, "TAMBAWALA BUILDING NO.1", 205, KALACHOWKY ROAD, D. L. MARG, LALBAUG, MUMBAI - 400 012
ABHY0065072|SHOP NO. 3, B WING, BUILDING NO. 87, "KANNAMWAR NAGAR RAIGAD CO-OP. HSG. SOC. LTD., KANNAMWAR NAGAR, VIKHROLI (E), MUMBAI - 400 083
ABHY0065073|SHOP NO.1, MAYFIAR SYMPHONY SPRING, PARKSITE, GODREJ, HIRANANDANI LINK RD., VIKHROLI WEST, MUMBAI 400079
ABHY0065074|VIRANI BUSINESS CENTRE, SHOP NO. 1,2,3,4, PLOT NO. 96 BY 2, OPP BHARAT GEARS CO., KAUSA, DIST-THANE- 400612
ABHY0065075|SHOP NO. 1,2,3 PRATHMESH PRIDE, PLOT NO. 06, SECTOR 19, ULWE, TAL  PANVEL, DIST RAIGAD  410206
ABHY0065076|SHOP NO. 1 AND 2, SANGHAVI PALACE, BELGRAMI ROAD, KURLA W, MUMBAI - 400070
ABHY0065077|SHOP NO.4 AND 6, REDWOOD CITY PLAZA, PLOT NO. C 13, SURVEY NO 242B, ICE FACTORY, PEN 402107.
ABHY0065101|598  DHANVANT PLAZA BHUDWAR PETH PUNE- 411002
ABHY0065102|355, NANA PETH, PUNE-411002
ABHY0065103|867, BUDHWAR PETH, LAXMI ROAD, PUNE-411002
ABHY0065104|OM MAHAVIR CHS, SHOP NO. D1-2-3, SURVEY NO. 1-A, PUNE NAGAR RD., YERWADA, PUNE-411006
ABHY0065105|SUNSHINE MARKS, CTS NO.4840, MUMBAI-PUNE RD, OPP B AMBEDKAR STATUE, PIMPRI, PUNE-411018
ABHY0065106|MANGALAM CHAMBERS, ERANDWANA, PAUD ROAD, PUNE-411038
ABHY0065107|TEJAS ETERNITY, S. NO. 134, H. NO.5,6/1, BANER BALEWADI RD, BANER, PUNE 411045
ABHY0065108|SHIVSMARAK SAMITI, PUNE-SATARA ROAD,DHANKWADI, PUNE-411037
ABHY0065109|620, PUNE NAGAR ROAD, WAGHOLI, TAL.HAVELI, PUNE-412207
ABHY0065110|SHOWROOM NO. 1 AND 3, SUNIT RIDDHI BLDG, PLOT NO. 2B, FINAL PLOT NO. 545, S. NO. 120A, 120B, PARVATI, SINHAGAD RD, PUNE 411030
ABHY0065111|AMIT SAMRUDDHI, OFF. J.M.ROAD, SHIVAJI NAGAR, PUNE-411004
ABHY0065112|BHAGVAN HOUSE, GROUND FLOOR, WARDHA ROAD, WARDHA ROAD, NAGPUR WARDHA ROAD, NAGPUR
ABHY0065113|AMDANI CHAMBERS, GROUND FLOOR, NEW GULMANDI ROAD, DALAL WADI, AURANGABAD- 431 001.
ABHY0065114|3/16, A-1-B, GROUND FLOOR, HISSA NO.29, SURVEY NO.204, MUMABAI GOA HIGHWAY, AT AND POST - KANKAVLI, DIST - SINDHUDURG 416602
ABHY0065115|SHOP NO. 3 & 4 & OFFICE NO.4,5 & 6 LUCKY PALACE APARTMENTS, CANARA CORNER, SHARANPUR TRIMBAK ROAD, NASHIK 422 005
ABHY0065116|ANAND BUILDING, MAIN BAZAR PETH, NEAR CHAKAN S.T. STAND, OLD PUNE NASHIK ROAD, CHAKAN, DIST PUNE 410 501
ABHY0065117|SHO NO.1-5, LOTUS PLAZA, TRIMURTI CHOWK, AMBAD-LINK ROAD, CIDCO, NEW NASHIK NASHIK-422008
ABHY0065118|RAJAN COMPLEX, DATTA MANDIR STOP, NASHIK-PUNE HIGHWAY, NASHIK 422 101
ABHY0065119|SHOP NO.1 & 2, MALANI CHAMBERS, PLOT NO.5, SHIVAJI NAGAR ROAD, GARKHEDA, AURANGABAD 431005
ABHY0065120|GROUND FLOOR, 69, ASHOKNAGAR, WORKSHOP-BHAGYANAGAR ROAD, NANDED, DIST NANDED - 431605
ABHY0065121|GANDHI GRAIN MARKET, OLD BAGADGANJ LAYOUT, CHAPRU CHOWK, CENTRAL AVENUE ROAD, NAGPUR - 440 008.
ABHY0065122|AMBIKA CORNER APARTMENT, PLOT NO. 6 & 7, LAXMIBAUG COLONY, TALEGAON DABHADE TAL. MAWAL, DIST. PUNE - 410506
ABHY0065123|PLOT NO. 10, 11, 12(D), THE NANDED TOWN MARKET AREA, SAMRAT NAGAR, NEAR ANNABHAU SATHE CHOWK, NANDED - 431 602.
ABHY0065124|GROUND FLOOR, MADHUSUDAN PARK, C BUILDING, WADALA PATHARDI ROAD, INDIRA NAGAR, NASHIK - 422 009
ABHY0065125|4614, LAXMI RESIDENCY, PETH ROAD, PANCHAVATI, NASHIK - 422 003.
ABHY0065126|SAI MIDAS TOUCH, SHOP NO. 7 AND 8, PLOT NO. 101 SLASH 86, NAGAR MANMAD ROAD, SAVEDI ROAD, AHMEDNAGAR 414003
ABHY0065201|SHREE KRISHNA BHAVAN, NEAR CHAMPANER GATE,  3259 BANK ROAD, VADODARA 390006,
ABHY0065202|JAYMANGAL HOUSE, BLOCK B, NEAR GANDHIGRAM RLY, STATION, ELLISBRIDGE, AHMEDABAD- 380 009.
ABHY0065203|DAHINI KHADKI, MANEKCHOWK, AHMEDABAD- 380 221.
ABHY0065204|BLOCK NO.E/1, GHANTAKARNA MAHAVIR CLOTH MARKET, RAIPUR, AHMEDABAD- 380 002.
ABHY0065205|HARSHAD CHAMBERS, OPP. VALLABHNAGAR, ODHAV, AHMEDABAD - 380 021
ABHY0065208|1, SATYAM, MANJUSHRI SOCIETY, GHATLODIA, AHMEDABAD- 380 061.
ABHY0065301|SRI KANIYOOR BLDG, CAR STREET, UDUPI,                    TEH. UDUPI, 576 101
ABHY0065302|SHAMBHAVI FORTUNE, BEHIND K S R T C BUS STAND, UDUPI -576101
ABHY0065304|SHIRVA, TEH. UDUPI, 574 116
ABHY0065305|SHRI SHAKTHI COMPLEX, NH-66, NADSAL VILLAGE, PADUBIDRI, UDUPI-DIST, 574111
ABHY0065306|SHOP NO. 4, JANVI PLAZA, NEAR BUNTS HOSTEL, KARANGLAPADY, MANGALORE-575003
ABNA0100310|BRADY HOUSE,14 VEER NARIMAN ROAD,FORT, MUMBAI - 400023
ABNA0100311|AZIMGANJ HOUSE, 7 CAMAC STREET, KOLKATA - 700017
ABNA0100312|HANSALAYA BUILDING, 15, BARAKHAMBA ROAD, NEW DELHI - 110001
ABNA0100313|19/1, HADDOWS ROAD,  NUNGAMBAKKAM, CHENNAI 600006.
ABNA0100314|327, MAHATMA GANDHI ROAD, PUNE CAMP, PUNE - 411001
ABNA0100316|7, ALKAPURI, R.C. DUTT ROAD, BARODA - 390 007
ABNA0100317|6-3-248/1/1/A, ROAD NO. 1, BANJARA HILLS, HYDERABAD - 500034
ABNA0100318|PRESTIGE TOWERS', GROUND FLOOR, 99 & 100, RESIDENCY ROAD, BANGALORE 560 025.
ABNA0100326|MAXIMUS COMMERCIAL COMPLEX, LIGHT HOUSE HILL ROAD, MANGALORE - 575001
ABNA0100327|M-6 HAUZ KHAS, NEW DELHI 110016
ABNA0100328|R-67, GREATER KAILASH-I, NEW DELHI - 110048
ABNA0100329|J-12/11 RAJOURI GARDEN,NEW DELHI-110027
ABNA0100330|VATIKA FIRST INDIA PLACE, TOWER B GROUND FLOOR, BLOCK A SUSHANT LOK PHASE I, MEHRAULI GURGAON ROAD, GURGAON - 122 002
ABNA0100331|GROUND FLOOR, ANANT TOWERS , 1115 K-1 SHAHUPURI, KOLHAPUR - 416001
ABNA0100332|18 A, BRABOURNE ROAD, KOLKATA - 700001
ABNA0100333|CD-16 , SECTOR - 1, SALT LAKE CITY, KOLKATA - 700064
ABNA0100335|GROUND & FIRST FLOOR, DURU HOUSE, JUHU TARA ROAD, JUHU, MUMBAI - 400049
ABNA0100336|OCEAN HEIGHTS, K - 4 SECTOR 18, NOIDA - 201301
ABNA0100337|SHUBH APPT, GROUND FLOOR , PLOT NO. 99, L ROAD, BHUPALPURA, VERMA CIRCLE, OPP. COLLECTOR BUNGALOW, UDAIPUR - 313001
ABNA0100338|KHASRA NO.71&72 VILLAGE MAUZA DEHTURA, TEHSIL AND DISTRICT AGRA - 282 007
ABNA0100339|KHASRA NO.9/4,OPP.IOCL PUNP,MAIN SALAWAS ROAD, BASNI PHASE - II, VILLAGE SANGARIYA, TEHSIL JODHPUR- 324005
ABNA0100340|MIDLAND FINANCIAL CENTRE,GROUND FLOOR, 21-22, G.T. ROAD,JALANDHAR, PUNJAB- 144001
ABNA0200001|SAKHAR BHAVAN, NARIMAN POINT,MUMBAI - 400021.
ADCB0000002|CITI CENTRE, 28, CHURCH STREET, OFF M. G. ROAD BANGALORE 560001
ADCC0000002|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH MARKET YARD, APMC, NEAR SHIVAJI COLLEGE, AKOLA. 444001
ADCC0000003|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH KAPAD BAZAR,TILAK ROAD, RAYAT HAWELI, AKOLA. 444001
ADCC0000004|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., JAI HIND CHOWK, OLD CITY, AKOLA. 444002
ADCC0000005|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH Z.P., NEAR COLLECTOR OFFICE, AKOLA. 444001
ADCC0000006|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., CIVIL LINES BRANCH, S.A. COLLEGE ROAD, AKOLA. 444001
ADCC0000007|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., RAMDAS PETH, NEAR BIRLA GATE, AKOLA. 444005
ADCC0000008|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., ADARSH COLONY, NEAR ADARSH VIDYALAYA, AKOLA. 444005
ADCC0000009|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., IN P.D.K.V. PREMICES, AKOLA. 444004
ADCC0000010|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH DABKI ROAD, NEAR KHANDELWAL HIGH SCHOOL, GODBOLE PLOT, DABKI ROAD, OLD CITY, AKOLA. 444002
ADCC0000011|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH TUKARAM CHOWK, SANT TUKARAM HOSPITAL CHOWK, GORAKSHAN ROAD, AKOLA. 444002
ADCC0000012|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH BORGAON MANJU AT. PO. BORGAON MANJU, TQ. DIST. AKOLA. 444102
ADCC0000013|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH PALSO, AT. PO. PALSO, TQ. DIST. AKOLA. 444102
ADCC0000014|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH MHAISANG, AT. PO. MHAISANG, TQ. DIST. AKOLA. 444003
ADCC0000015|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH KANSHIVANI, AT. PO. KANSHIVANI, TQ. DIST. AKOLA 444102
ADCC0000016|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH GANDHIGRAM, AT. PO. GANDHIGRAM, TQ. DIST.AKOLA. 444006
ADCC0000017|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BR. CHIKHALGAON, AT.PO. CHIKHALGAON, TQ. DIST. AKOLA. 444006
ADCC0000018|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH DAHIHANDA, AT. PO. DAHIHANDA, TQ. DIST. AKOLA. 444111
ADCC0000019|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH PATUR NANDAPUR, AT. PO. PATUR NANDAPUR, TQ.DIST. AKOLA. 444407
ADCC0000020|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH KURANKHED, AT. PO. KURANKHED, TQ.DIST.AKOLA. 444102
ADCC0000021|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH GOREGAON KD., AT. PO. GOREGAON KD., TQ. DIST. AKOLA. 444102
ADCC0000022|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., JATHARPETH, UMARI ROAD, NEAR PATIL MARKET, AKOLA.  444005
ADCC0000023|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH KHADKI BK., AT. KHADKI BK., PO. CHANDUR, TQ. DIST. AKOLA. 444004
ADCC0000024|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH RANPISE NAGAR, RANPISE NAGAR, AKOLA. 444001
ADCC0000025|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH AGAR, AT. PO. AGAR, TQ. DIST. AKOLA.  444006
ADCC0000026|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH RATANLAL PLOT, NEAR RAGHUVANSHI MANGAL KARYALAYA, RATANLAL PLOT, AKOLA. 444001
ADCC0000028|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH BARSHITAKLI, AT. PO. TQ. BARSHITAKLI, DIST. AKOLA. 444401
ADCC0000029|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH PINJAR, AT. PO. PINJAR, TQ. BARSHITAKLI, DIST. AKOLA. 444407
ADCC0000030|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH MAHAN, AT. PO. MAHAN, TQ. BARSHITAKLI, DIST. AKOLA. 444405
ADCC0000031|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH KANHERI SARAP, AT. PO. KANHERI SARAP, TQ. BARSHITAKLI, DIST. AKOLA. 444401
ADCC0000032|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH DHABA, AT. PO. DHABA, TQ. BARSHITAKLI, DIST. AKOLA. 444401
ADCC0000033|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH AKOT MAIN, AT. PO. TQ. AKOT, DIST. AKOLA. 444101
ADCC0000034|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH AKOT CITY, AT. PO. TQ. AKOT, DIST. AKOLA. 444101
ADCC0000035|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH NARSING MANDIR, AT. PO. TQ. AKOT, DIST. AKOLA. 444101
ADCC0000036|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH SAVARA, AT. PO. SAVARA, TQ. AKOT, DIST. AKOLA. 444101
ADCC0000037|THE AKOLA DIST. CENTRAL COOP. BANK LTD., BRANCH RAUNDALA, AT PO. DEVRI PHATA PARISAR, NEAR SWAMI VIVEKANAND CONVENT. TQ. AKOT DIST. AKOLA., 444101
ADCC0000038|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH CHOHOTTA BAZAR, AT. PO. CHOHOTTA BAZAR, TQ. AKOT, DIST. AKOLA. 444125
ADCC0000039|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH WARUD JAULKA, AT. PO. WARUD JAULKA,TQ. AKOT, DIST. AKOLA. 444101
ADCC0000040|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH AKOLKHED, AT. PO. AKOLKHED, TQ. AKOT, DIST.AKOLA. 444101
ADCC0000041|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH KUTASA, AT. PO. KUTASA, TQ. AKOT, DIST. AKOLA. 444101
ADCC0000042|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH MUNDGAON, AT. PO. MUNDGAON, TQ. AKOT, DIST. AKOLA. 444117
ADCC0000043|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH TELHARA MAIN, AT. PO. TQ.TELHARA,  DIST. AKOLA. 444108
ADCC0000044|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH TELHARA CITY, AT. PO. TQ.TELHARA,  DIST. AKOLA. 444108
ADCC0000045|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH HIWARKHED, AT. PO. HIWARKHED, TQ. TELHARA, DIST.AKOLA. 444103
ADCC0000046|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH DANAPUR, AT. PO. DANAPUR, TQ. TELHARA, DIST.AKOLA. 444129
ADCC0000047|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH PATHARDI, AT. PO. PATHARDI, TQ. TELHARA, DIST.AKOLA. 444117
ADCC0000048|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH BELKHED, AT. PO. BELKHED, TQ. TELHARA, DIST.AKOLA. 444108
ADCC0000049|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH ADSUL, AT. PO. ADSUL, TQ. TELHARA, DIST. AKOLA. 444108
ADCC0000050|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH ADGAON, AT.PO. ADGAON, TQ. TELHARA, DIST.AKOLA. 444126
ADCC0000051|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., BRANCH BALAPUR, AT.PO. TQ. BALAPUR, DIST. AKOLA. 444302
ADCC0000052|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH URAL BK., AT. PO. URAL BK., TQ. BALAPUR, DIST.AKOLA. 444311
ADCC0000053|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH WADEGAON, AT. PO. WADEGAON, TQ. BALAPUR, DIST. AKOLA. 444502
ADCC0000054|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH NIMBA, AT. PO. NIMBA, TQ. BALAPUR, DIST.AKOLA. 444311
ADCC0000055|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH PARAS, AT. PO. PARAS, TQ. BALAPUR, DIST.AKOLA. 444109
ADCC0000056|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH HATRUN, AT. PO. HATRUN, TQ. BALAPUR, DIST.AKOLA 444109
ADCC0000057|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH VYALA, AT. PO. VYALA, TQ. BALAPUR, DIST.AKOLA. 444302
ADCC0000058|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH PATUR, AT. PO. TQ. PATUR, DIST. AKOLA. 444501
ADCC0000059|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH CHANNI, AT. PO. CHANNI, TQ. PATUR, DIST. AKOLA. 444501
ADCC0000060|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH ALEGAON, AT. PO. ALEGAON, TQ. PATUR, DIST.AKOLA. 444511
ADCC0000061|THE AKOLA DISTRICT CENTRAL COOP. BANK LTD.,BRANCH VIWARA, AT. PO. VIWARA, TQ. PATUR, DIST. AKOLA. 444511
